date,Food,FAFH,meats,pork,beef,poultry,seafood,eggs,egg,dairy,milk,vegetable,fruit,oils
2013-01-01,83.84,86.05,79.07,76.88,72.93,83.29,76.69,95.24,97.8,90.02,86.69,72.57,84.14,92.21
2013-02-01,82.51,86.02,80.11,78.75,73.82,83.43,79.03,95.12,97.7,89.57,86.56,58.74,83.92,89.69
2013-03-01,81.26,86.23,78.07,76.57,73.34,80.79,76.3,96.86,99.77,89.85,86.69,49.7,81.65,90.84
2013-04-01,81.89,86.3,77.53,76.75,72.41,79.26,76.98,96.35,99.02,89.1,84.69,59.84,76.96,92.88
2013-05-01,83.2,86.38,76.97,76.56,72.69,77.82,77.19,87.86,88.91,90.05,86.87,71.55,78.36,92.16
2013-06-01,83.6,86.49,77.82,76.74,73.72,79.7,77.85,81.0,80.65,90.7,87.63,76.73,74.86,92.21
2013-07-01,82.98,86.43,78.07,76.46,73.98,80.76,78.56,81.31,81.2,91.66,87.81,76.94,67.46,93.69
2013-08-01,83.66,86.33,78.58,76.64,74.27,81.83,79.49,86.36,87.23,91.73,88.83,77.85,75.25,89.3
2013-09-01,87.73,86.52,79.26,77.06,75.29,82.91,79.69,86.3,87.04,90.85,86.97,108.38,81.47,91.38
2013-10-01,86.93,86.77,79.6,77.19,74.87,83.72,79.07,83.06,83.18,91.2,87.75,95.46,86.92,92.39
2013-11-01,85.24,86.89,80.07,77.3,75.49,84.65,78.36,85.61,86.33,91.09,86.57,75.22,88.49,92.58
2013-12-01,85.06,86.93,81.87,77.51,74.96,89.7,79.69,87.02,88.07,90.91,86.94,69.24,90.4,92.13
2014-01-01,84.67,87.33,83.78,78.22,77.39,93.34,83.68,92.72,94.78,91.01,86.48,58.53,93.42,94.29
2014-02-01,84.64,87.62,85.23,79.95,76.77,95.3,82.62,91.83,93.67,89.91,84.63,55.36,92.44,95.91
2014-03-01,85.86,88.32,88.29,87.32,77.28,93.47,83.04,101.57,105.29,90.26,85.88,56.92,95.81,94.94
2014-04-01,86.11,89.14,88.21,88.13,77.97,92.03,83.44,97.1,99.79,91.22,86.64,59.64,91.82,94.38
2014-05-01,86.79,89.67,87.7,88.65,78.6,89.65,84.05,95.32,97.59,90.61,85.17,66.17,89.14,95.27
2014-06-01,86.78,89.94,87.29,88.63,78.93,88.41,84.31,95.72,98.09,90.89,86.83,75.18,77.9,93.71
2014-07-01,86.53,90.11,87.95,89.85,80.32,88.11,84.32,96.69,99.05,92.15,88.65,75.81,74.22,93.12
2014-08-01,88.35,90.26,88.01,90.11,79.92,87.99,83.99,102.97,106.38,92.38,88.36,86.48,79.9,93.08
2014-09-01,88.97,90.36,88.28,91.15,80.62,87.05,83.66,95.78,97.2,92.94,88.83,85.74,85.46,94.19
2014-10-01,89.83,90.44,88.7,91.21,82.99,87.31,83.41,102.56,105.17,92.29,87.83,89.73,89.57,92.81
2014-11-01,88.35,90.71,89.29,91.14,83.82,88.76,82.82,93.12,93.77,90.89,85.2,74.19,91.35,92.48
2014-12-01,88.74,90.83,89.45,89.18,84.09,91.79,83.22,98.55,100.19,90.73,84.55,77.22,90.04,95.63
2015-01-01,88.45,90.83,91.73,91.0,84.38,95.69,85.01,104.95,107.86,90.91,84.04,70.35,90.99,94.26
2015-02-01,87.26,90.91,93.64,95.31,84.25,95.22,88.92,103.83,106.33,89.31,81.45,59.6,88.62,91.5
2015-03-01,87.09,90.89,91.78,92.28,84.17,94.12,85.59,105.35,107.91,90.94,84.68,58.91,86.91,94.36
2015-04-01,87.39,91.25,89.28,87.64,84.64,93.12,85.2,98.58,99.8,90.32,83.91,68.45,81.24,95.75
2015-05-01,87.56,91.48,87.96,86.85,84.19,90.49,84.67,92.8,92.74,91.21,85.64,71.92,78.98,94.49
2015-06-01,88.41,91.44,89.8,88.41,84.56,93.48,84.88,83.24,81.3,92.25,87.1,82.93,75.24,93.8
2015-07-01,88.06,91.64,90.1,88.61,84.98,93.88,85.19,86.0,84.62,92.57,88.77,78.87,73.24,93.58
2015-08-01,91.06,91.79,90.98,90.53,85.65,93.47,85.16,95.4,95.98,92.72,88.31,98.65,83.61,91.44
2015-09-01,94.21,91.98,90.65,90.5,85.81,92.48,84.96,96.14,96.44,92.57,88.79,114.97,96.48,92.41
2015-10-01,94.42,92.06,89.6,89.5,85.89,90.82,85.2,94.36,94.1,92.08,87.84,112.25,101.35,93.91
2015-11-01,92.99,92.27,90.16,89.76,86.19,91.93,84.86,101.29,102.48,91.0,86.7,96.59,102.13,94.79
2015-12-01,91.4,92.38,90.51,89.38,86.38,93.45,85.78,100.83,101.47,88.94,81.69,81.68,101.07,93.51
2016-01-01,90.86,92.45,90.97,89.7,86.62,94.08,87.89,105.49,107.07,88.4,80.04,75.03,100.67,93.5
2016-02-01,94.65,92.47,91.54,90.79,87.07,93.99,91.73,104.58,105.84,88.66,81.45,107.75,101.44,92.4
2016-03-01,94.61,92.64,91.15,89.98,87.43,93.84,88.51,108.94,111.32,88.23,80.98,105.54,103.41,93.4
2016-04-01,94.35,92.72,90.76,89.03,87.01,94.19,88.06,105.75,107.41,90.48,83.69,103.27,102.3,92.37
2016-05-01,92.66,92.7,90.84,89.53,87.51,93.49,88.12,92.28,91.22,90.47,83.9,86.29,103.6,93.29
2016-06-01,92.44,92.75,90.8,89.73,87.89,92.99,88.6,90.24,88.73,93.07,89.13,84.46,102.29,93.26
2016-07-01,92.92,92.97,91.39,91.01,88.25,92.86,89.24,92.39,91.47,92.68,89.42,91.68,98.99,93.18
2016-08-01,93.44,92.99,91.5,91.13,89.12,92.68,89.7,96.03,95.87,93.37,90.64,94.78,102.75,92.38
2016-09-01,95.03,93.21,92.02,91.9,89.57,93.0,90.51,94.87,94.35,93.74,90.91,102.11,106.14,92.12
2016-10-01,99.36,93.36,91.83,91.36,90.1,92.91,91.03,97.45,97.41,93.38,90.7,139.41,109.29,93.15
2016-11-01,98.95,93.37,91.89,91.07,90.67,93.17,89.92,96.65,96.47,93.35,90.05,132.83,111.91,93.06
2016-12-01,95.47,93.56,92.31,91.45,90.3,93.97,90.35,91.64,90.51,92.6,89.0,95.18,116.42,92.21
2017-01-01,93.56,93.93,92.94,92.87,90.42,93.7,95.52,93.89,93.24,91.6,86.51,69.18,121.15,91.78
2017-02-01,93.93,94.23,93.15,92.7,90.74,94.47,93.31,91.02,89.85,91.73,86.46,66.8,125.68,92.32
2017-03-01,92.98,94.46,92.41,92.22,90.53,93.09,92.14,95.6,95.36,91.52,85.37,65.08,117.54,92.13
2017-04-01,92.08,94.55,92.76,92.78,90.47,93.44,92.51,97.09,97.05,93.48,89.39,67.61,102.21,93.22
2017-05-01,92.62,94.63,93.14,93.22,90.54,93.94,93.93,90.41,89.01,94.65,91.97,73.16,100.11,93.81
2017-06-01,94.47,94.73,93.14,93.47,90.43,93.55,93.76,84.79,82.29,95.37,93.6,95.39,95.14,93.93
2017-07-01,94.06,94.74,93.22,94.58,90.43,92.23,93.72,79.98,76.56,95.37,94.28,98.19,88.19,93.75
2017-08-01,94.69,94.87,93.91,95.65,90.6,92.67,93.78,88.97,87.3,96.0,94.84,103.12,88.65,92.43
2017-09-01,94.83,95.16,94.14,96.24,90.89,92.42,93.99,83.3,80.4,96.46,95.3,99.32,92.0,94.13
2017-10-01,95.51,95.27,94.22,96.42,90.6,92.5,94.26,84.92,82.43,96.77,95.8,103.37,91.93,95.02
2017-11-01,96.3,95.29,94.32,95.48,90.14,94.16,94.16,85.0,82.55,96.24,95.09,104.08,98.58,94.63
