date,lower_95,median,upper_95,actual
2024-06-01,,,,114.19
2024-07-01,,,,112.44
2024-08-01,,,,114.38
2024-09-01,,,,114.74
2024-10-01,,,,116.27
2024-11-01,,,,116.84
2024-12-01,,,,116.59
2025-01-01,,,,117.4
2025-02-01,,,,118.33
2025-03-01,,,,119.61
2025-04-01,,,,119.93
2025-05-01,,,,120.22
2025-06-01,,,,121.08
2025-07-01,,,,120.59
2025-08-01,,,,122.42
2025-09-01,,,,122.68
2025-10-01,,,,122.72
2025-11-01,,,,123.14
2025-12-01,,,,123.26
2026-01-01,,,,123.54
2026-02-01,,,,124.48
2026-03-01,,,,124.61
2026-04-01,,,,124.8
2026-05-01,,,,125.16
2026-06-01,124.15734735976906,125.47133926412117,126.82022706225253,
2026-07-01,123.92309396537954,125.80326317823065,127.694849569001,
2026-08-01,123.82047380083557,126.10192940649131,128.4036005487412,
2026-09-01,123.83923806943095,126.43306113380115,129.08111719896965,
2026-10-01,123.76662188945959,126.75277944501923,129.7179837532962,
2026-11-01,123.8389381277371,127.08616682494844,130.3399310616106,
2026-12-01,123.96766159314903,127.41011726979679,130.9474474541518,
2027-01-01,124.05427816756287,127.74887523853907,131.45684665875987,
2027-02-01,124.08332874649332,128.06979434061083,132.04371720523974,
2027-03-01,124.25593848166253,128.3914819357609,132.53156517086185,
2027-04-01,124.3739904924041,128.70135008286115,133.0346887039083,
2027-05-01,124.47528628186645,129.0117311114431,133.5958864959078,
2027-06-01,124.61805852456621,129.3384546900226,134.17028946145646,
2027-07-01,124.66821148433203,129.68080901042387,134.6178990447699,
2027-08-01,124.77672601711916,129.98392387505191,135.11179585927835,
2027-09-01,124.92499669600186,130.30367465973757,135.64556985489725,
2027-10-01,125.19815710305404,130.6152470537321,136.05844196864922,
2027-11-01,125.40210522823749,130.92678649161388,136.60901313955594,
2027-12-01,125.4343365350482,131.2786906075035,137.05205815436776,
2028-01-01,125.63265522461718,131.58074743879018,137.52160657615644,
