date,lower_95,median,upper_95,actual
2024-06-01,,,,104.6
2024-07-01,,,,104.83
2024-08-01,,,,105.35
2024-09-01,,,,105.09
2024-10-01,,,,105.55
2024-11-01,,,,105.01
2024-12-01,,,,103.96
2025-01-01,,,,103.93
2025-02-01,,,,104.23
2025-03-01,,,,104.66
2025-04-01,,,,104.31
2025-05-01,,,,104.23
2025-06-01,,,,104.25
2025-07-01,,,,104.63
2025-08-01,,,,104.33
2025-09-01,,,,104.66
2025-10-01,,,,104.68
2025-11-01,,,,104.08
2025-12-01,,,,104.22
2026-01-01,,,,104.04
2026-02-01,,,,103.69
2026-03-01,,,,103.84
2026-04-01,,,,104.15
2026-05-01,,,,104.56
2026-06-01,103.6279972616847,104.78140000946154,105.94209020554939,
2026-07-01,103.64850680750024,105.18841607692985,106.70537642013842,
2026-08-01,103.37854180870498,105.35984209367585,107.32679503404022,
2026-09-01,103.13637665685265,105.44065378803293,107.68516711809659,
2026-10-01,102.84100588340722,105.51888823138356,108.1507885339853,
2026-11-01,102.24377695949443,105.17385410877017,108.13402898067707,
2026-12-01,101.85302411400417,105.01922174398996,108.17911608217601,
2027-01-01,101.42426388541455,104.80529517997482,108.1839300818249,
2027-02-01,101.15062075989135,104.75612279964758,108.4053515623342,
2027-03-01,101.03723465092763,104.90107177398976,108.73763472346378,
2027-04-01,100.99588171815708,105.0148841195111,109.04010684868103,
2027-05-01,100.92924077349318,105.20593573461915,109.43984965405555,
2027-06-01,100.86463151637923,105.4003271814515,109.90165283902027,
2027-07-01,101.00695338583284,105.72423863063277,110.48114826055583,
2027-08-01,100.9019940943051,105.91283971447639,110.85858869630249,
2027-09-01,100.81496059989503,105.95160251777318,111.1507559471006,
2027-10-01,100.66290241068369,106.02589082954441,111.36793246011428,
2027-11-01,100.20972261299542,105.68858780468057,111.23857240295435,
2027-12-01,99.82365463373685,105.56520337376102,111.25121704567815,
2028-01-01,99.44614877275094,105.37662882385857,111.25231359603642,
