end_date,effective_end,lower_95,median,upper_95,order,seasonal_order,bic
2025-12-01,2025-12-01,-6.294114565717137,6.676089760327486,19.473748648925685,"[0, 1, 0]","[1, 0, 1, 12]",869.9610839523657
2026-01-01,2026-01-01,-6.074699211927008,6.014261998984864,17.99401150226946,"[0, 1, 0]","[1, 0, 1, 12]",869.9842644195959
2026-02-01,2026-02-01,-1.5461991638577286,9.672402958626371,20.79399905878588,"[0, 1, 0]","[1, 0, 1, 12]",869.8036702545311
2026-03-01,2026-03-01,-6.743601835662058,3.6134675707143273,14.108630252378557,"[0, 1, 0]","[1, 0, 1, 12]",875.4040528410604
2026-04-01,2026-04-01,-6.815131685437916,2.5517231470920336,11.825412464947131,"[0, 1, 0]","[1, 0, 1, 12]",875.2173458420167
2026-05-01,2026-05-01,-4.0165867098545,3.938530745871333,11.927205574367443,"[0, 1, 0]","[1, 0, 1, 12]",874.8388257913085
2026-06-01,2026-05-01,-4.0165867098545,3.938530745871333,11.927205574367443,"[0, 1, 0]","[1, 0, 1, 12]",874.8388257913085
2026-07-01,2026-05-01,-4.0165867098545,3.938530745871333,11.927205574367443,"[0, 1, 0]","[1, 0, 1, 12]",874.8388257913085
2026-08-01,2026-05-01,-4.0165867098545,3.938530745871333,11.927205574367443,"[0, 1, 0]","[1, 0, 1, 12]",874.8388257913085
2026-09-01,2026-05-01,-4.0165867098545,3.938530745871333,11.927205574367443,"[0, 1, 0]","[1, 0, 1, 12]",874.8388257913085
2026-10-01,2026-05-01,-4.0165867098545,3.938530745871333,11.927205574367443,"[0, 1, 0]","[1, 0, 1, 12]",874.8388257913085
2026-11-01,2026-05-01,-4.0165867098545,3.938530745871333,11.927205574367443,"[0, 1, 0]","[1, 0, 1, 12]",874.8388257913085
