date,lower_95,median,upper_95,actual
2024-06-01,,,,110.83
2024-07-01,,,,110.27
2024-08-01,,,,110.51
2024-09-01,,,,111.63
2024-10-01,,,,111.78
2024-11-01,,,,112.36
2024-12-01,,,,112.94
2025-01-01,,,,112.24
2025-02-01,,,,112.89
2025-03-01,,,,113.07
2025-04-01,,,,113.08
2025-05-01,,,,113.92
2025-06-01,,,,113.91
2025-07-01,,,,113.9
2025-08-01,,,,113.68
2025-09-01,,,,113.59
2025-10-01,,,,113.75
2025-11-01,,,,114.3
2025-12-01,,,,114.58
2026-01-01,,,,114.85
2026-02-01,,,,114.52
2026-03-01,,,,115.01
2026-04-01,,,,115.15
2026-05-01,,,,115.41
2026-06-01,113.62916423200689,115.48767218938065,117.33388493434067,
2026-07-01,112.40868935882068,115.51542753279514,118.47478231880098,
2026-08-01,111.5715267814217,115.49325922703862,119.30563149907331,
2026-09-01,111.01623647203168,115.48791046915068,119.95556835535331,
2026-10-01,110.31875390170143,115.49507008695556,120.60648333752543,
2026-11-01,109.91387480039008,115.49897344120087,121.21161131502998,
2026-12-01,109.42819001856081,115.48495209444391,121.71252480261793,
2027-01-01,109.00132396291346,115.53759832724029,122.1303599730291,
2027-02-01,108.53820626214556,115.57143820592901,122.48015603962132,
2027-03-01,108.21171729726444,115.54831483315704,122.85819860276254,
2027-04-01,107.65146044679291,115.57096604568885,123.34333649808434,
2027-05-01,107.2748195808527,115.55158055232798,123.59805948416994,
2027-06-01,107.0780248836749,115.51529539185151,124.1337982216382,
2027-07-01,106.6535409626969,115.4619768162271,124.60720151871918,
2027-08-01,106.15334407051895,115.51547163511154,124.78319392311455,
2027-09-01,105.80491595204076,115.45817661977541,124.91663173233749,
2027-10-01,105.61749207978626,115.47063788467284,125.26046908384951,
2027-11-01,105.39791118449968,115.49732213023563,125.54471323984936,
2027-12-01,105.12115228164483,115.54482869401284,125.8052466856477,
2028-01-01,104.84024016540813,115.53416453528874,126.1981457063077,
