date,lower_95,median,upper_95,actual
2024-06-01,,,,112.83
2024-07-01,,,,113.13
2024-08-01,,,,115.27
2024-09-01,,,,115.74
2024-10-01,,,,116.39
2024-11-01,,,,117.19
2024-12-01,,,,116.91
2025-01-01,,,,116.43
2025-02-01,,,,116.7
2025-03-01,,,,116.98
2025-04-01,,,,116.49
2025-05-01,,,,116.27
2025-06-01,,,,116.0
2025-07-01,,,,116.41
2025-08-01,,,,118.92
2025-09-01,,,,118.79
2025-10-01,,,,118.72
2025-11-01,,,,118.91
2025-12-01,,,,118.37
2026-01-01,,,,117.78
2026-02-01,,,,116.95
2026-03-01,,,,116.72
2026-04-01,,,,117.16
2026-05-01,,,,117.85
2026-06-01,116.27308691921728,117.94981149132643,119.68123712413953,
2026-07-01,115.36064849860328,117.91553957566654,120.5643348361226,
2026-08-01,116.22972794705771,119.20278646343654,122.21268226556383,
2026-09-01,116.4164586189201,119.80904188170734,123.08884764480602,
2026-10-01,116.4619931198912,120.09987813876867,123.71540312944725,
2026-11-01,116.18243007304758,120.05928670189867,123.99304647251938,
2026-12-01,115.54467284720013,119.73264085353244,123.94236399321555,
2027-01-01,115.10273777280787,119.57940018017263,123.99451587729595,
2027-02-01,114.73668135136552,119.46928980800034,124.15145752194161,
2027-03-01,114.53965560950934,119.48280616122787,124.3598629108118,
2027-04-01,114.39464075506808,119.59918715243785,124.67997958048716,
2027-05-01,114.58387438997893,119.95882710444988,125.37835096477072,
2027-06-01,114.48524390260376,120.08052834378316,125.63258280005651,
2027-07-01,114.26403734247464,120.1492779039593,125.89729925472842,
2027-08-01,115.24223703674086,121.34017725545971,127.44858116219906,
2027-09-01,115.53778806814925,121.91970901007305,128.3655579897071,
2027-10-01,115.64477038411542,122.20283922651242,128.83205097981727,
2027-11-01,115.27845654511525,122.16119235584662,129.1206812014734,
