date,lower_95,median,upper_95,actual
2024-06-01,,,,118.31
2024-07-01,,,,118.3
2024-08-01,,,,118.54
2024-09-01,,,,120.28
2024-10-01,,,,120.01
2024-11-01,,,,120.57
2024-12-01,,,,120.26
2025-01-01,,,,119.45
2025-02-01,,,,120.22
2025-03-01,,,,120.5
2025-04-01,,,,120.56
2025-05-01,,,,120.35
2025-06-01,,,,120.13
2025-07-01,,,,120.06
2025-08-01,,,,118.67
2025-09-01,,,,118.78
2025-10-01,,,,120.34
2025-11-01,,,,120.6
2025-12-01,,,,120.59
2026-01-01,,,,119.26
2026-02-01,,,,118.85
2026-03-01,,,,120.04
2026-04-01,,,,119.23
2026-05-01,,,,119.99
2026-06-01,118.82717469906473,120.72338016673697,122.66426418547191,
2026-07-01,118.65472648943444,121.10907565125129,123.50242520602234,
2026-08-01,117.63496247151556,120.4930582644451,123.32240708777769,
2026-09-01,118.26391078674364,121.47558142640705,124.81076259343494,
2026-10-01,118.11212348772548,121.78015751724959,125.37332663172295,
2026-11-01,118.1583065454712,122.09244972795099,126.025332609674,
2026-12-01,118.10453189012513,122.3293255016592,126.58177245464188,
2027-01-01,117.15299151537722,121.718449505801,126.21667624505925,
2027-02-01,117.53244787612219,122.30503494804327,127.01074490109795,
2027-03-01,117.73791543488163,122.6596540657642,127.74103352495206,
2027-04-01,117.63961427080945,122.910697850862,128.0828949212619,
2027-05-01,117.4737535316477,122.88525967603866,128.40741482798336,
2027-06-01,117.86027689895235,123.49182356101619,129.1769091976529,
2027-07-01,117.85045073288273,123.71968060484177,129.5992943538149,
2027-08-01,116.9644535851967,123.08842300597168,129.2594864890298,
2027-09-01,117.43499093064099,123.82505877664059,130.1661067674106,
2027-10-01,117.72908280342448,124.25912950911678,130.90889532800392,
2027-11-01,117.79613648511557,124.53417045512714,131.33823410889696,
