end_date,effective_end,lower_95,median,upper_95,order,seasonal_order,bic
2025-12-01,2025-12-01,1.1989366259084537,2.8421200410248915,4.501775509203839,"[0, 1, 1]","[1, 0, 1, 12]",419.48555795450017
2026-01-01,2026-01-01,0.8291955665428506,2.4759941524139393,4.1124308177557545,"[0, 1, 1]","[1, 0, 1, 12]",418.60211785234674
2026-02-01,2026-02-01,1.4975723234914682,2.936636592378811,4.36640970076841,"[0, 1, 1]","[1, 0, 1, 12]",413.159591485379
2026-03-01,2026-03-01,1.7549767900001427,3.077999575616886,4.396213959715925,"[0, 1, 1]","[1, 0, 1, 12]",412.80420868897966
2026-04-01,2026-04-01,1.9864690892979848,3.2051813885315994,4.408141429061554,"[0, 1, 1]","[1, 0, 1, 12]",412.8299772194574
2026-05-01,2026-05-01,2.2497745062486003,3.3154725156593585,4.39708200232958,"[0, 1, 1]","[1, 0, 1, 12]",412.97843974251265
2026-06-01,2026-05-01,2.2497745062486003,3.3154725156593585,4.39708200232958,"[0, 1, 1]","[1, 0, 1, 12]",412.97843974251265
2026-07-01,2026-05-01,2.2497745062486003,3.3154725156593585,4.39708200232958,"[0, 1, 1]","[1, 0, 1, 12]",412.97843974251265
2026-08-01,2026-05-01,2.2497745062486003,3.3154725156593585,4.39708200232958,"[0, 1, 1]","[1, 0, 1, 12]",412.97843974251265
2026-09-01,2026-05-01,2.2497745062486003,3.3154725156593585,4.39708200232958,"[0, 1, 1]","[1, 0, 1, 12]",412.97843974251265
2026-10-01,2026-05-01,2.2497745062486003,3.3154725156593585,4.39708200232958,"[0, 1, 1]","[1, 0, 1, 12]",412.97843974251265
2026-11-01,2026-05-01,2.2497745062486003,3.3154725156593585,4.39708200232958,"[0, 1, 1]","[1, 0, 1, 12]",412.97843974251265
