end_date,effective_end,lower_95,median,upper_95,order,seasonal_order,bic
2025-12-01,2025-12-01,-19.268279842736806,-5.838920872688121,7.9206671833666045,"[0, 1, 1]","[0, 0, 0, 12]",871.7964446128839
2026-01-01,2026-01-01,-21.12245461778933,-8.574000896238395,4.465087015788072,"[0, 1, 1]","[0, 0, 0, 12]",872.755397845376
2026-02-01,2026-02-01,-22.57109233773963,-10.664679854883325,1.4173064541525349,"[0, 1, 1]","[0, 0, 0, 12]",872.5176080587756
2026-03-01,2026-03-01,-25.842012380248786,-14.909820736310124,-3.508455285585066,"[0, 1, 1]","[0, 0, 0, 12]",874.6678761125427
2026-04-01,2026-04-01,-23.219796900169122,-13.339633182086253,-3.2401007963239854,"[0, 1, 1]","[0, 0, 0, 12]",875.0235228899281
2026-05-01,2026-05-01,-21.36705922467595,-12.876983752634679,-4.24057297466976,"[0, 1, 1]","[0, 0, 0, 12]",871.5093962756384
2026-06-01,2026-06-01,-21.832177481569314,-14.750017963689253,-7.60498406579634,"[0, 1, 1]","[0, 0, 0, 12]",871.0032962241064
2026-07-01,2026-06-01,-21.832177481569314,-14.750017963689253,-7.60498406579634,"[0, 1, 1]","[0, 0, 0, 12]",871.0032962241064
2026-08-01,2026-06-01,-21.832177481569314,-14.750017963689253,-7.60498406579634,"[0, 1, 1]","[0, 0, 0, 12]",871.0032962241064
2026-09-01,2026-06-01,-21.832177481569314,-14.750017963689253,-7.60498406579634,"[0, 1, 1]","[0, 0, 0, 12]",871.0032962241064
2026-10-01,2026-06-01,-21.832177481569314,-14.750017963689253,-7.60498406579634,"[0, 1, 1]","[0, 0, 0, 12]",871.0032962241064
2026-11-01,2026-06-01,-21.832177481569314,-14.750017963689253,-7.60498406579634,"[0, 1, 1]","[0, 0, 0, 12]",871.0032962241064
