date,lower_95,median,upper_95,actual
2024-07-01,,,,114.73
2024-08-01,,,,115.3
2024-09-01,,,,116.29
2024-10-01,,,,116.58
2024-11-01,,,,117.03
2024-12-01,,,,117.04
2025-01-01,,,,117.33
2025-02-01,,,,118.13
2025-03-01,,,,118.38
2025-04-01,,,,118.99
2025-05-01,,,,119.74
2025-06-01,,,,119.84
2025-07-01,,,,120.44
2025-08-01,,,,121.88
2025-09-01,,,,122.74
2025-10-01,,,,122.9
2025-11-01,,,,123.17
2025-12-01,,,,122.87
2026-01-01,,,,123.11
2026-02-01,,,,123.18
2026-03-01,,,,123.21
2026-04-01,,,,122.64
2026-05-01,,,,122.83
2026-06-01,,,,123.6
2026-07-01,122.74838396497347,124.01388122083164,125.2878065579492,
2026-08-01,122.10270472803087,124.27407643884823,126.40188444333359,
2026-09-01,121.75480910534392,124.51816856058255,127.28146272263064,
2026-10-01,121.52697522398734,124.74712592764816,128.06204176561684,
2026-11-01,121.35409613935893,124.97935317829408,128.68913408892155,
2026-12-01,121.1709743100258,125.2158418023835,129.4373530427691,
2027-01-01,121.11489328590964,125.4749878325132,129.98155897292958,
2027-02-01,121.03602577181707,125.71465493922601,130.56432571359593,
2027-03-01,121.0471639812806,125.95478949534552,131.04644611723361,
2027-04-01,120.95969867925041,126.18461440685113,131.5530948544675,
2027-05-01,120.90678478812804,126.43928151169501,132.14863160650378,
2027-06-01,120.83378268391823,126.67419857987865,132.67265442191777,
2027-07-01,120.86377722622402,126.95872671407918,133.18439299605063,
2027-08-01,120.8188474303248,127.21754013035978,133.63525047417463,
2027-09-01,120.88099811629353,127.44664064432777,134.10052515395964,
2027-10-01,120.8977266586332,127.70446645346428,134.61143257161115,
2027-11-01,120.98585267594888,127.95780652908141,135.03383071470085,
2027-12-01,120.97529822078948,128.20605146327904,135.48173501088627,
