date,Food,meats,pork,beef,poultry,eggs,egg,seafood,vegetable,fruit,dairy,milk,oils,FAFH
1981-01-01,38.52,51.81,,,,69.19,,23.28,13.16,19.33,45.73,,74.17,39.59
1981-02-01,39.64,54.82,,,,66.06,,24.43,13.12,20.2,46.24,,74.39,40.18
1981-03-01,39.66,52.33,,,,66.05,,24.12,14.38,20.63,46.39,,74.08,40.93
1981-04-01,39.96,51.86,,,,65.11,,23.96,16.72,21.14,46.43,,72.97,41.48
1981-05-01,39.51,50.66,,,,63.5,,23.91,16.74,21.58,46.45,,72.64,41.72
1981-06-01,40.41,50.95,,,,62.85,,23.65,22.37,21.52,46.45,,72.07,41.73
1981-07-01,40.74,50.79,,,,61.21,,23.87,22.98,22.93,46.84,,71.77,41.94
1981-08-01,41.58,51.38,,,,65.87,,23.87,25.77,23.17,48.6,,71.94,42.5
1981-09-01,42.24,52.1,,,,69.3,,24.23,27.1,23.57,49.19,,72.07,43.22
1981-10-01,41.56,51.32,,,,66.23,,24.4,23.77,23.56,49.67,,72.23,43.4
1981-11-01,40.78,51.65,,,,64.13,,24.61,18.83,23.64,50.36,,72.3,43.46
1981-12-01,40.65,51.6,,,,62.02,,24.56,17.48,23.37,50.57,,72.45,43.48
1982-01-01,40.95,52.78,,,,61.97,,25.38,15.0,24.82,50.81,,73.08,43.65
1982-02-01,40.8,52.23,,,,56.79,,25.51,14.09,25.5,50.87,,73.36,43.87
1982-03-01,41.06,51.06,,,,62.89,,24.97,13.7,25.45,50.89,,73.88,43.9
1982-04-01,41.28,50.72,,,,55.24,,25.02,13.98,25.3,51.02,,75.07,43.9
1982-05-01,41.9,52.71,,,,51.1,,24.79,16.17,24.97,51.05,,77.16,43.95
1982-06-01,42.11,53.39,,,,51.04,,24.36,17.85,24.76,51.13,,78.46,44.04
1982-07-01,42.02,53.28,,,,47.86,,24.42,19.17,24.36,51.2,,80.57,44.04
1982-08-01,45.08,55.24,,,,67.32,,25.02,29.78,26.99,51.66,,82.76,44.04
1982-09-01,43.63,55.04,,,,54.03,,24.86,22.56,28.61,52.13,,82.1,44.09
