date,lower_95,median,upper_95,actual
2024-08-01,,,,119.19
2024-09-01,,,,116.34
2024-10-01,,,,109.08
2024-11-01,,,,110.03
2024-12-01,,,,109.03
2025-01-01,,,,105.38
2025-02-01,,,,104.89
2025-03-01,,,,115.16
2025-04-01,,,,119.31
2025-05-01,,,,110.09
2025-06-01,,,,107.88
2025-07-01,,,,112.6
2025-08-01,,,,119.74
2025-09-01,,,,122.02
2025-10-01,,,,116.38
2025-11-01,,,,124.03
2025-12-01,,,,121.17
2026-01-01,,,,121.28
2026-02-01,,,,129.44
2026-03-01,,,,121.57
2026-04-01,,,,120.9
2026-05-01,,,,118.75
2026-06-01,,,,116.82
2026-07-01,,,,121.57
2026-08-01,116.33758004425414,125.57649780302872,134.87827592412327,
2026-09-01,112.83698471161989,125.89950263663152,139.30803729363194,
2026-10-01,108.40253610210782,124.3382643114592,140.81716768336622,
2026-11-01,106.3463509783816,124.78237060172602,143.61884422202013,
2026-12-01,103.97899762656897,124.69424200133066,145.5773687777403,
2027-01-01,102.91045579094046,125.92544862011927,148.79596469744627,
2027-02-01,103.14940940935765,127.55553176294244,152.05238035145126,
2027-03-01,103.43621907673561,129.8060285755167,156.16021836984868,
2027-04-01,103.00298047852814,130.90269484341394,159.22742610900346,
2027-05-01,96.39160884135754,126.20681883244693,155.7919394177653,
2027-06-01,92.58830916805718,123.41728567435158,154.2386513839768,
2027-07-01,90.88217235142194,123.1228925667431,155.44407639967514,
2027-08-01,93.3802068430957,127.10441058351239,160.70841958079455,
2027-09-01,92.071032736149,127.38354085062144,163.04472293807683,
2027-10-01,88.6366147501736,125.71537657825277,163.0666631936498,
2027-11-01,87.69941498348567,126.35109450302474,165.0236252817448,
2027-12-01,86.29783988225932,126.18376266721982,166.05651503665038,
2028-01-01,86.28843887387272,127.41787799333468,169.06340043265362,
