date,lower_95,median,upper_95,actual
2024-08-01,,,,128.13
2024-09-01,,,,136.22
2024-10-01,,,,133.46
2024-11-01,,,,136.77
2024-12-01,,,,137.07
2025-01-01,,,,145.27
2025-02-01,,,,150.81
2025-03-01,,,,152.67
2025-04-01,,,,143.0
2025-05-01,,,,141.74
2025-06-01,,,,133.81
2025-07-01,,,,122.54
2025-08-01,,,,128.21
2025-09-01,,,,134.58
2025-10-01,,,,131.72
2025-11-01,,,,134.48
2025-12-01,,,,138.21
2026-01-01,,,,133.46
2026-02-01,,,,127.12
2026-03-01,,,,117.07
2026-04-01,,,,116.94
2026-05-01,,,,118.91
2026-06-01,,,,115.58
2026-07-01,,,,118.84
2026-08-01,110.93239603516153,120.52366540023316,130.17881227468197,
2026-09-01,104.1648825088094,120.60310710017751,136.7170018599251,
2026-10-01,99.62478556276565,120.5613079488021,141.48044347697135,
2026-11-01,96.02344036205582,120.39986174803468,145.49195947753205,
2026-12-01,92.81477005527266,120.26980912497537,148.3445998894552,
2027-01-01,89.56661714849889,120.15972370421088,152.11842454429538,
2027-02-01,87.23811326146219,120.2343529394735,154.32932836167703,
2027-03-01,84.7496336482936,120.16022859176695,156.85454697236526,
2027-04-01,82.95004647505097,120.08455124140706,158.60220605660612,
2027-05-01,80.39371481737277,119.9296740229278,160.56333827783948,
2027-06-01,78.10690423677245,119.96858392704235,163.18187937975588,
2027-07-01,75.66314805960974,119.84794162639784,165.23494112906744,
2027-08-01,74.00288613232318,120.10943820005673,167.22925015125887,
2027-09-01,71.77765402716,120.17987982454693,168.75336507702625,
2027-10-01,70.34997873727303,120.02736882578513,170.37019928948104,
2027-11-01,68.58995166794736,120.07039398964238,172.34427001931485,
2027-12-01,67.34899316780148,120.1036461809509,173.65858164065014,
2028-01-01,65.38894987679629,120.09454722768015,175.15449767036435,
