end_date,effective_end,lower_95,median,upper_95,order,seasonal_order,bic
2025-12-01,2025-12-01,1.069994336841766,2.9566524442135176,4.879502864166712,"[0, 1, 1]","[0, 0, 0, 12]",315.6138407781
2026-01-01,2026-01-01,1.2823258984251105,3.051911290814715,4.853948563674087,"[0, 1, 1]","[0, 0, 0, 12]",315.634756209749
2026-02-01,2026-02-01,1.9266046458999029,3.2492186743738003,4.607028240758134,"[2, 2, 1]","[0, 0, 0, 12]",296.1364025158822
2026-03-01,2026-03-01,1.9141774647978003,3.12886459230743,4.373881066695472,"[2, 2, 1]","[0, 0, 0, 12]",296.23114579429864
2026-04-01,2026-04-01,1.1331888652209607,2.4366366779502897,3.799679688824392,"[0, 1, 1]","[0, 0, 0, 12]",298.441520868087
2026-05-01,2026-05-01,1.403392727263007,2.5719966508519505,3.763349736426101,"[0, 1, 1]","[0, 0, 0, 12]",296.9342803342727
2026-06-01,2026-06-01,1.771634937217244,2.7712483839246076,3.794032415908101,"[0, 1, 1]","[0, 0, 0, 12]",296.80368205889397
2026-07-01,2026-07-01,2.18050142858618,2.9107408318624692,3.612948856690559,"[2, 2, 1]","[0, 0, 0, 12]",295.88476345555574
2026-08-01,2026-07-01,2.18050142858618,2.9107408318624692,3.612948856690559,"[2, 2, 1]","[0, 0, 0, 12]",295.88476345555574
2026-09-01,2026-07-01,2.18050142858618,2.9107408318624692,3.612948856690559,"[2, 2, 1]","[0, 0, 0, 12]",295.88476345555574
2026-10-01,2026-07-01,2.18050142858618,2.9107408318624692,3.612948856690559,"[2, 2, 1]","[0, 0, 0, 12]",295.88476345555574
2026-11-01,2026-07-01,2.18050142858618,2.9107408318624692,3.612948856690559,"[2, 2, 1]","[0, 0, 0, 12]",295.88476345555574
