end_date,effective_end,lower_95,median,upper_95,order,seasonal_order,bic
2025-12-01,2025-12-01,-20.32018246669791,11.323127723497258,41.630171556890176,"[0, 1, 0]","[1, 0, 1, 12]",691.2048575997786
2026-01-01,2026-01-01,-9.22670173331816,21.48449399815582,52.60544555758055,"[0, 1, 0]","[1, 0, 0, 12]",700.6240820307527
2026-02-01,2026-02-01,-9.888676966962999,16.795703335732213,42.677612677339475,"[0, 1, 0]","[1, 0, 1, 12]",689.1164895845453
2026-03-01,2026-03-01,-14.102351482590954,11.456925882480306,36.616086895421326,"[0, 1, 0]","[1, 0, 0, 12]",698.6779212878356
2026-04-01,2026-04-01,-8.983216226583757,13.57155215007299,35.424659637005924,"[0, 1, 0]","[1, 0, 0, 12]",698.6278920722676
2026-05-01,2026-04-01,-8.983216226583757,13.57155215007299,35.424659637005924,"[0, 1, 0]","[1, 0, 0, 12]",698.6278920722676
2026-06-01,2026-04-01,-8.983216226583757,13.57155215007299,35.424659637005924,"[0, 1, 0]","[1, 0, 0, 12]",698.6278920722676
2026-07-01,2026-04-01,-8.983216226583757,13.57155215007299,35.424659637005924,"[0, 1, 0]","[1, 0, 0, 12]",698.6278920722676
2026-08-01,2026-04-01,-8.983216226583757,13.57155215007299,35.424659637005924,"[0, 1, 0]","[1, 0, 0, 12]",698.6278920722676
2026-09-01,2026-04-01,-8.983216226583757,13.57155215007299,35.424659637005924,"[0, 1, 0]","[1, 0, 0, 12]",698.6278920722676
2026-10-01,2026-04-01,-8.983216226583757,13.57155215007299,35.424659637005924,"[0, 1, 0]","[1, 0, 0, 12]",698.6278920722676
2026-11-01,2026-04-01,-8.983216226583757,13.57155215007299,35.424659637005924,"[0, 1, 0]","[1, 0, 0, 12]",698.6278920722676
